clip	duration[ms]
common_voice_vi_40891505.mp3	5148
common_voice_vi_40891528.mp3	3240
common_voice_vi_40891380.mp3	5040
common_voice_vi_40891389.mp3	3960
common_voice_vi_40891461.mp3	2340
common_voice_vi_40891507.mp3	4716
common_voice_vi_40891470.mp3	3096
common_voice_vi_40891439.mp3	3888
common_voice_vi_40891400.mp3	3600
common_voice_vi_40891415.mp3	3888
common_voice_vi_40891383.mp3	2880
common_voice_vi_41064428.mp3	3420
common_voice_vi_41130003.mp3	3168
common_voice_vi_41197361.mp3	2700
common_voice_vi_41064420.mp3	2700
common_voice_vi_41197363.mp3	5796
common_voice_vi_41130001.mp3	4788
common_voice_vi_40891457.mp3	2160
common_voice_vi_40891436.mp3	3708
common_voice_vi_40891373.mp3	2916
common_voice_vi_40891393.mp3	2736
common_voice_vi_40891467.mp3	3636
common_voice_vi_41064419.mp3	2880
common_voice_vi_40891422.mp3	2988
common_voice_vi_40891402.mp3	3996
common_voice_vi_41197360.mp3	4608
common_voice_vi_40891494.mp3	3888
common_voice_vi_40891496.mp3	3060
common_voice_vi_40891416.mp3	4968
common_voice_vi_40891511.mp3	2556
common_voice_vi_40891520.mp3	3060
common_voice_vi_41197359.mp3	3276
common_voice_vi_40891524.mp3	3240
common_voice_vi_40891465.mp3	3168
common_voice_vi_40891448.mp3	3708
common_voice_vi_41197354.mp3	4968
common_voice_vi_40891444.mp3	4536
common_voice_vi_40891495.mp3	4608
common_voice_vi_40891385.mp3	4248
common_voice_vi_41108345.mp3	4680
common_voice_vi_40891433.mp3	2376
common_voice_vi_41197357.mp3	3060
common_voice_vi_41108343.mp3	4716
common_voice_vi_40891527.mp3	2808
common_voice_vi_40891446.mp3	3348
common_voice_vi_41197367.mp3	4536
common_voice_vi_40891510.mp3	3636
common_voice_vi_41197362.mp3	4068
common_voice_vi_41064421.mp3	3960
common_voice_vi_40891529.mp3	2700
common_voice_vi_40891396.mp3	2988
common_voice_vi_40891438.mp3	2808
common_voice_vi_41197368.mp3	3420
common_voice_vi_40891395.mp3	3276
common_voice_vi_40891476.mp3	2808
common_voice_vi_40891428.mp3	2556
common_voice_vi_40891466.mp3	3888
common_voice_vi_40891508.mp3	2556
common_voice_vi_40891497.mp3	3600
common_voice_vi_41197370.mp3	2880
common_voice_vi_40891397.mp3	3996
common_voice_vi_40891431.mp3	3708
common_voice_vi_41197371.mp3	2196
common_voice_vi_40891482.mp3	2808
common_voice_vi_40891440.mp3	2340
common_voice_vi_40891479.mp3	3348
common_voice_vi_40891430.mp3	4356
common_voice_vi_41197355.mp3	5940
common_voice_vi_41108344.mp3	4860
common_voice_vi_40891388.mp3	5328
common_voice_vi_40891387.mp3	4500
common_voice_vi_41197352.mp3	7848
common_voice_vi_40891493.mp3	3348
common_voice_vi_41130005.mp3	3060
common_voice_vi_41108347.mp3	3708
common_voice_vi_41064429.mp3	4320
common_voice_vi_40891435.mp3	2196
common_voice_vi_41197369.mp3	2700
common_voice_vi_40891447.mp3	2376
common_voice_vi_40891429.mp3	2988
common_voice_vi_40891381.mp3	4896
common_voice_vi_40891477.mp3	3780
common_voice_vi_41064418.mp3	5868
common_voice_vi_40891521.mp3	3528
common_voice_vi_40891478.mp3	9540
common_voice_vi_41108346.mp3	4500
common_voice_vi_40891462.mp3	3816
common_voice_vi_40891421.mp3	3276
common_voice_vi_40891492.mp3	3096
common_voice_vi_40891525.mp3	3276
common_voice_vi_40891414.mp3	2556
common_voice_vi_40891437.mp3	3456
common_voice_vi_40891488.mp3	4896
common_voice_vi_40891413.mp3	2736
common_voice_vi_40891434.mp3	2556
common_voice_vi_41064422.mp3	3636
common_voice_vi_40891464.mp3	2988
common_voice_vi_40891376.mp3	4500
common_voice_vi_40891523.mp3	2808
common_voice_vi_40891468.mp3	2268
common_voice_vi_41197364.mp3	3960
common_voice_vi_40891491.mp3	4320
common_voice_vi_41064426.mp3	2880
common_voice_vi_40891506.mp3	2268
common_voice_vi_40891458.mp3	2916
common_voice_vi_40891460.mp3	3060
common_voice_vi_40891378.mp3	2808
common_voice_vi_41035916.mp3	3636
common_voice_vi_41035917.mp3	5400
common_voice_vi_41035914.mp3	6660
common_voice_vi_40891386.mp3	5076
common_voice_vi_40891379.mp3	4680
common_voice_vi_40891503.mp3	4896
common_voice_vi_41035915.mp3	3528
common_voice_vi_40891374.mp3	3528
common_voice_vi_40891509.mp3	3780
common_voice_vi_40891390.mp3	5076
common_voice_vi_41130002.mp3	3096
common_voice_vi_40891382.mp3	3168
common_voice_vi_41197353.mp3	6660
common_voice_vi_40891375.mp3	5688
common_voice_vi_41064427.mp3	3996
common_voice_vi_41197366.mp3	3996
common_voice_vi_40891481.mp3	3240
common_voice_vi_40891513.mp3	3240
common_voice_vi_41035918.mp3	4320
common_voice_vi_40891384.mp3	3636
common_voice_vi_40891522.mp3	3168
common_voice_vi_40891418.mp3	4140
common_voice_vi_40891399.mp3	4320
common_voice_vi_40891480.mp3	3456
common_voice_vi_40891377.mp3	4248
common_voice_vi_40891489.mp3	2880
common_voice_vi_41197358.mp3	2988
common_voice_vi_40891391.mp3	3600
common_voice_vi_40891443.mp3	3816
common_voice_vi_40891398.mp3	2736
common_voice_vi_40891526.mp3	3096
common_voice_vi_40891490.mp3	2340
common_voice_vi_40891401.mp3	4428
common_voice_vi_40891417.mp3	3420
common_voice_vi_40891456.mp3	3996
common_voice_vi_40891459.mp3	4536
common_voice_vi_40891394.mp3	3420
common_voice_vi_40891512.mp3	3996
common_voice_vi_40891420.mp3	3600
common_voice_vi_40891469.mp3	4788
common_voice_vi_41197365.mp3	4680
common_voice_vi_40891419.mp3	4680
common_voice_vi_41064425.mp3	3096
common_voice_vi_40891392.mp3	2628
common_voice_vi_40891432.mp3	4068
common_voice_vi_40891463.mp3	3636
common_voice_vi_41197356.mp3	3960
common_voice_vi_40891504.mp3	4608
common_voice_vi_40891514.mp3	3780
common_voice_vi_41130004.mp3	3636
